S,I,R
1,1.66667e-08,0
1,2.41667e-08,0
1,3.50417e-08,0
1,5.08104e-08,0
1,7.36751e-08,0
1,1.06829e-07,0
1,1.54902e-07,0
1,2.24608e-07,0
1,3.25681e-07,0
1,4.72238e-07,0
0.999999,6.84744e-07,0
0.999999,9.92879e-07,0
0.999999,1.43967e-06,0
0.999998,2.08753e-06,0
0.999997,3.02691e-06,0
0.999996,4.38901e-06,0
0.999994,6.36405e-06,0
0.999991,9.22785e-06,0
0.999987,1.33803e-05,0
0.999981,1.94013e-05,0
0.999972,2.81317e-05,0
0.999959,4.07904e-05,0
0.999941,5.91449e-05,0
0.999914,8.57576e-05,0
0.999876,0.000124343,0
0.99982,0.000180287,0
0.999739,0.000261394,0
0.999621,0.000378973,0
0.999451,0.00054941,0
0.999204,0.000796434,0
0.998846,0.00115438,0
0.998327,0.00167292,0
0.997576,0.00242378,0
0.99649,0.00351037,0
0.994919,0.00508141,0
0.99265,0.00734997,0
0.98938,0.0106196,0
0.98468,0.0153195,0
0.977951,0.0220491,0
0.968369,0.0316308,0
0.954836,0.0451643,0
0.93594,0.0640604,0
0.909985,0.090015,0
0.87515,0.12485,0
0.829879,0.170121,0
0.773583,0.226417,0
0.707581,0.292419,0
0.635849,0.364151,0
0.564805,0.435195,0
0.501543,0.498457,0
0.451159,0.548841,0
0.415039,0.584961,0
0.391332,0.608668,0
0.376765,0.623235,0
0.368205,0.631795,0
0.363313,0.636687,0
0.360563,0.639437,0
0.359032,0.640968,0
0.358184,0.641816,0
0.357716,0.642284,0
0.357459,0.642541,0
0.357317,0.642683,0
0.357238,0.642762,0
0.357195,0.642805,0
0.357172,0.642828,0
0.357159,0.642841,0
0.357152,0.642848,0
0.357148,0.642852,0
0.357146,0.642854,0
0.357144,0.642856,0
0.357144,0.642856,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
0.357143,0.642857,0
